death_place,country
Minnesota | Minneapolis,US
Woodstock New York,US
Arden North Carolina,US
Nicaragua | Managua,Nicaragua
Rio de Janeiro,Brazil
Tel Aviv | Israel,Israel
New York City | New York,US
Queensland | Sandgate Queensland,Australia
Montreal,Canada
Chile | Juan Fernández Islands,Chile
Austria-Hungary | Vienna,Austria
Los Angeles,US
India | Delhi,India
São Paulo (state) | Empire of Brazil | São Paulo,Brazil
Italy | Milan,Italy
Somalia | Mogadishu,Somalia
Moscow,Russia
Dominican Republic,Dominican Republic
United States | New York,US
Brazil | São Paulo (state) | Bananal São Paulo,Brazil
Madeira | Portugal,Portugal
Alpes-Maritimes | France,France
Dublin | Republic of Ireland,Ireland
Oklahoma | North Canadian River,US
Lisbon,Portugal
Azerbaijan | Karakend (Nagorno-Karabakh) | Khojavend District,Azerbaijan
Kyrgyzstan | Osh,Kyrgyzstan
Tbilisi | Georgia (country),Georgia
Italy | Rome,Italy
Philippines | Quezon City,Philippines
Lisbon | Portugal,Portugal
Paraguay | Asunción,Paraguay
Syrian Desert,Syria
Azerbaijan | Lachin | Böyük Galadərəsi,Azerbaijan
Beirut | Achrafieh,Lebanon
Virginia | Arlington County Virginia,US
Havana | Cuba,Cuba
Louisiana | New Orleans | United States,US
Multnomah County Oregon | United States,US
Japan | Tokyo | Delhi,Japan
Chelsea London | England,UK
Phoenix Arizona | Arizona,US
Port Kaituma | Guyana,Guyana
Marylebone,UK
Chișinău,Moldova
Hungary | Budapest,Hungary
Bogotá | United Provinces of New Granada | Free and Independent State of Cundinamarca,Colombia
West Yorkshire | Leeds | England,UK
Greece,Greece
Blackpool,UK
Uruapan,Mexico
California | Long Beach California,US
London | England,UK
Tokyo,Japan
Paris | France,France
Kolkata | Bengal Presidency | Presidencies and provinces of British India,India
New York City,US
Cairo | Egypt | Rabi'a al-'Adawiyya,Egypt
Baghdad | Iraq,Iraq
Romania | Bucharest,Romania
Spain | Madrid,Spain
Louisiana | Baton Rouge Louisiana,US
London,UK
Pomfret Connecticut | United States,US
Istanbul | Turkey,Turkey
Paris,France
Abilene Texas,US
Moscow | Russian Soviet Federative Socialist Republic,Russia
Viceroyalty of New Granada | Bogotá | Free and Independent State of Cundinamarca,Colombia
Frankfurt,Germany
León Guanajuato | Mexico,Mexico
Philippines | Ifugao | Banaue Rice Terraces,Philippines
Al-Raqqah | Syria | Syrian Desert,Syria
Kalar Iraq,Iraq
Gothenburg | Sweden,Sweden
Brazil | São Paulo,Brazil
Russia | Saratov,Russia
New York City | United States,US
East Hampton (village) New York | United States | New York,US
Antwerp,Belgium
New South Wales | Sydney,Australia
Afghanistan | Kabul,Afghanistan
Stockholm | Sweden | Hammarby Sjöstad,Sweden
Russian Empire | Saint Petersburg,Russia
Budapest,Hungary
Egypt,Egypt
Oaxaca City | Mexico,Mexico
Berlin | East Germany,Germany
Lancashire | Aintree,UK
Harlem | New York,US
Hawaii | United States,US
Japan | Tokyo,Japan
Washington D.C. | United States,US
Tijuana | Mexico,Mexico
Libya | Benghazi,Libya
Karachi | Pakistan,Pakistan
Catalonia | Spain | Puig_d'Olena,Spain
